original_title,budget,runtime,vote_average,death,Position,SLJ,Zoe,QT,QTCameo,Roth,Madsen,Year,revenue,Nominations,Awards,Ratio
Reservoir Dogs,1200000,99,7.9,11,1,0,0,1,0,1,1,1992,14661007,0,0,12.217505833333334
Pulp Fiction,8000000,154,8.1,7,2,1,0,1,0,1,0,1994,213928762,7,3,26.74109525
Jackie Brown,12000000,154,7.1,4,3,1,0,0,0,0,0,1997,39673162,0,0,3.306096833333333
Kill Bill: Vol. 1,15000000,111,7.6,62,4,0,1,0,1,0,1,2003,180949000,0,0,12.063266666666667
Kill Bill: Vol. 2,15000000,136,7.5,13,5,1,1,0,1,0,1,2004,152159461,0,0,10.143964066666667
Death Proof,25000000,113,6.7,6,6,0,1,1,0,0,0,2007,25037897,0,0,1.00151588
Inglourious Basterds,70000000,153,7.7,396,7,1,1,0,1,0,0,2009,319131050,6,0,4.559015
Django Unchained,100000000,165,7.7,64,8,1,1,0,1,0,0,2012,425368238,5,3,4.25368238
The Hateful Eight,44000000,167,7.4,20,9,1,1,0,0,1,1,2015,155760117,2,0,3.5400026590909093
Once Upon a Time in Hollywood,90000000,161,7.4,4,10,0,1,0,1,1,1,2019,374000000,8,2,4.155555555555556
